epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.41,2.0441,4.49642,2.24625,0.00299,0.6957,0.01504,0.00583,2.06866,4.92846,2.53918,0.000231737,0.000231737,0.000231737
2,268.351,1.75729,4.34951,2.04596,0.00286,0.69534,0.02926,0.01021,1.92467,4.76607,2.41975,0.000446485,0.000446485,0.000446485
3,423.714,1.72501,4.21371,2.01472,0.60522,0.04783,0.03723,0.01546,1.94413,4.60839,2.36988,0.000637671,0.000637671,0.000637671
4,597.318,1.67476,4.04854,1.98444,0.59204,0.13616,0.0377,0.01615,1.94682,4.96063,2.34172,0.000607971,0.000607971,0.000607971
5,743.086,1.76367,4.03853,2.0118,0.68875,0.09147,0.06516,0.02296,1.87786,4.63829,2.26392,0.000572628,0.000572628,0.000572628
6,884.5,1.76812,4.03734,2.04705,0.65231,0.11181,0.10436,0.0413,1.95013,4.23553,2.32687,0.000537285,0.000537285,0.000537285
7,1040.38,1.7716,3.84726,2.01924,0.54612,0.09786,0.1037,0.04457,1.86689,4.31049,2.32532,0.000501942,0.000501942,0.000501942
8,1185.92,1.74584,4.00291,2.02469,0.4959,0.13034,0.10474,0.04496,1.83725,4.36419,2.32343,0.000466599,0.000466599,0.000466599
9,1326.11,1.68159,3.78499,1.97049,0.48288,0.1652,0.12379,0.05423,1.7579,4.23175,2.21092,0.000431256,0.000431256,0.000431256
10,1457.42,1.65908,3.69779,1.96077,0.32741,0.18717,0.13197,0.055,1.70561,4.20394,2.19073,0.000395913,0.000395913,0.000395913
11,1583.31,1.95883,5.19027,2.34752,0.37297,0.34788,0.16596,0.07239,1.74006,5.81012,2.26044,0.00036057,0.00036057,0.00036057
12,1703.81,1.81326,4.74819,2.2814,0.60935,0.23173,0.16617,0.07208,1.73938,5.49705,2.31443,0.000325227,0.000325227,0.000325227
13,1830.18,1.79059,4.44656,2.28848,0.64364,0.16522,0.17747,0.09024,1.70836,4.3354,2.26234,0.000289884,0.000289884,0.000289884
14,1956.49,1.65472,4.67366,2.15151,0.34309,0.24646,0.18737,0.09266,1.60427,4.02994,2.16419,0.000254541,0.000254541,0.000254541
15,2075.42,1.63908,4.64652,2.1877,0.62297,0.16791,0.21915,0.10685,1.59095,3.97206,2.14344,0.000219198,0.000219198,0.000219198
16,2204.47,1.56661,4.99978,2.03964,0.43419,0.22424,0.22868,0.10936,1.58278,3.93954,2.11986,0.000183855,0.000183855,0.000183855
17,2344.19,1.6058,4.89686,2.05742,0.60176,0.20846,0.26626,0.13956,1.53251,3.76184,2.04506,0.000148512,0.000148512,0.000148512
18,2460.91,1.65501,4.52846,2.1041,0.61901,0.22108,0.27888,0.15131,1.5033,3.65895,2.01774,0.000113169,0.000113169,0.000113169
19,2639.1,1.52137,4.04055,1.98368,0.60914,0.20977,0.27491,0.15236,1.48118,3.68801,1.98223,7.7826e-05,7.7826e-05,7.7826e-05
20,2786.64,1.57255,4.38155,2.01792,0.49711,0.22649,0.28826,0.15993,1.46597,3.67864,1.97417,4.2483e-05,4.2483e-05,4.2483e-05
