epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.84,2.02884,4.50568,2.23374,0.0034,0.67609,0.02385,0.00931,1.90545,4.90174,2.49707,0.000216482,0.000216482,0.000216482
2,220.953,1.75937,4.37053,2.04538,0.00316,0.71306,0.04186,0.01753,1.86801,4.83953,2.45016,0.000417094,0.000417094,0.000417094
3,365.283,1.70189,4.2204,2.00975,0.91673,0.02777,0.05903,0.02916,1.95058,4.64108,2.44031,0.000595695,0.000595695,0.000595695
4,567.516,1.77811,4.03826,2.0412,0.65016,0.1109,0.07341,0.0313,2.04708,4.58646,2.46192,0.00056795,0.00056795,0.00056795
5,733.59,1.80264,4.01406,2.06916,0.39885,0.19145,0.11555,0.04431,2.00362,4.47071,2.38114,0.000534934,0.000534934,0.000534934
6,892.356,1.83767,4.11108,2.11476,0.39745,0.15549,0.09799,0.03348,1.98568,4.29512,2.31865,0.000501917,0.000501917,0.000501917
7,1047.53,1.75132,3.75276,2.00479,0.35792,0.18974,0.12084,0.04541,1.95115,4.38675,2.2675,0.000468901,0.000468901,0.000468901
8,1206.49,1.78431,3.94507,2.01633,0.55682,0.26339,0.14891,0.06717,1.83101,4.91411,2.2229,0.000435884,0.000435884,0.000435884
9,1364.5,1.70659,3.72206,1.97724,0.40848,0.28172,0.17108,0.08287,1.76145,4.82444,2.22873,0.000402868,0.000402868,0.000402868
10,1522.37,1.68495,3.61546,1.95655,0.35574,0.28213,0.20449,0.1038,1.71347,4.19507,2.19227,0.000369851,0.000369851,0.000369851
11,1676.75,1.92217,5.09748,2.3532,0.50319,0.26817,0.18278,0.08687,1.71969,4.9016,2.29231,0.000336835,0.000336835,0.000336835
12,1828.76,1.75935,4.67355,2.23401,0.7461,0.13726,0.1863,0.08077,1.68062,4.75824,2.27191,0.000303818,0.000303818,0.000303818
13,1992.85,1.79218,4.43914,2.27122,0.46307,0.25671,0.22917,0.11905,1.60038,4.01687,2.16592,0.000270802,0.000270802,0.000270802
14,2156.92,1.59255,4.37019,2.11924,0.5559,0.27967,0.24864,0.13131,1.59615,4.00745,2.0992,0.000237785,0.000237785,0.000237785
15,2318.93,1.67714,4.37628,2.1941,0.67071,0.23176,0.27084,0.14455,1.61219,4.15105,2.10077,0.000204769,0.000204769,0.000204769
16,2481.99,1.57578,4.95861,2.0182,0.71133,0.23161,0.28605,0.15869,1.59961,4.07658,2.08389,0.000171752,0.000171752,0.000171752
17,2647.24,1.51733,4.89724,1.96893,0.72222,0.26943,0.32109,0.18435,1.53599,3.80276,2.04528,0.000138736,0.000138736,0.000138736
18,2802.15,1.65642,4.4486,2.07493,0.66427,0.27435,0.34107,0.20333,1.48982,3.67442,1.98953,0.00010572,0.00010572,0.00010572
19,3039.02,1.4714,3.94803,1.92253,0.75538,0.22957,0.3679,0.22378,1.44438,3.6744,1.94525,7.2703e-05,7.2703e-05,7.2703e-05
20,3201.04,1.53378,4.23426,1.99145,0.64763,0.27746,0.37721,0.23198,1.42689,3.62221,1.92788,3.96865e-05,3.96865e-05,3.96865e-05
