epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3214.93,1.68359,4.16355,1.87965,0.74594,0.18199,0.18189,0.12721,1.59415,3.5109,1.80498,0.000151463,0.000151463,0.000151463
2,4733.69,1.58045,3.18167,1.77427,0.68054,0.23501,0.21469,0.15328,1.56651,3.10693,1.82335,0.00027312,0.00027312,0.00027312
3,10005.4,1.52594,2.86188,1.72788,0.68754,0.24859,0.23945,0.16793,1.54948,2.79738,1.73951,0.000364747,0.000364747,0.000364747
4,11938,1.50068,2.61873,1.68944,0.55078,0.24298,0.2511,0.18588,1.49555,2.61312,1.70991,0.000319865,0.000319865,0.000319865
