epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.108,0,31.0774,0,0,0,0,0,0,45.1074,0,0.000232195,0.000232195,0.000232195
2,225.934,0,29.3725,0,0,0,0,0,0,43.3895,0,0.000460885,0.000460885,0.000460885
3,327.752,0,28.0344,0,0,0,0,0,0,39.6796,0,0.000680151,0.000680151,0.000680151
4,464.23,0,26.9939,0,0,0,0,0,0,37.4511,0,0.000671588,0.000671588,0.000671588
5,590.593,0,26.1308,0,0,0,0,0,0,35.1636,0,0.000657451,0.000657451,0.000657451
